iter	Passed	Remaining
407	3222	4676
408	3227	4663
409	3232	4651
410	3235	4637
411	3238	4621
412	3244	4611
413	3247	4596
414	3250	4582
415	3253	4566
416	3260	4558
417	3264	4545
418	3267	4530
419	3272	4519
420	3277	4507
421	3289	4504
422	3292	4491
423	3296	4478
424	3298	4463
425	3306	4454
426	3309	4441
427	3312	4426
428	3314	4411
429	3320	4401
430	3327	4393
431	3330	4378
432	3337	4370
433	3340	4357
434	3343	4342
435	3345	4327
436	3354	4322
437	3359	4310
438	3364	4299
439	3367	4285
440	3380	4284
441	3384	4273
442	3387	4258
443	3396	4253
444	3400	4240
445	3402	4226
446	3417	4228
447	3425	4220
448	3429	4208
449	3432	4195
450	3435	4181
451	3440	4171
452	3443	4158
453	3446	4144
454	3455	4139
455	3459	4127
456	3462	4113
457	3487	4126
458	3492	4116
459	3500	4108
460	3507	4100
461	3516	4094
462	3521	4084
463	3524	4071
464	3533	4065
465	3537	4054
466	3541	4041
467	3545	4030
468	3551	4020
469	3557	4012
470	3561	4000
471	3565	3988
472	3576	3985
473	3581	3973
474	3585	3962
475	3593	3955
476	3597	3944
477	3600	3931
478	3605	3921
479	3608	3909
480	3612	3898
481	3615	3885
482	3629	3884
483	3637	3877
484	3644	3869
485	3648	3858
486	3652	3847
487	3657	3837
488	3661	3825
489	3666	3816
490	3669	3804
491	3672	3792
492	3680	3784
493	3686	3776
494	3694	3769
495	3698	3757
496	3700	3745
497	3705	3734
498	3708	3723
499	3711	3711
500	3714	3699
501	3717	3687
502	3721	3677
503	3725	3665
504	3727	3653
505	3729	3641
506	3734	3631
507	3737	3619
508	3740	3608
509	3742	3596
510	3744	3583
511	3752	3576
512	3755	3565
513	3758	3554
514	3766	3547
515	3770	3536
516	3774	3525
517	3779	3517
518	3786	3509
519	3789	3497
520	3793	3488
521	3797	3477
522	3801	3467
523	3803	3455
524	3809	3446
525	3813	3436
526	3816	3425
527	3818	3413
528	3823	3404
529	3827	3394
530	3831	3384
531	3834	3373
532	3840	3364
533	3844	3354
534	3847	3344
535	3851	3333
536	3854	3323
537	3858	3313
538	3861	3302
539	3865	3293
540	3871	3284
541	3875	3274
542	3877	3263
543	3885	3257
544	3893	3250
545	3898	3241
546	3901	3231
547	3906	3222
548	3909	3211
549	3913	3201
550	3915	3191
551	3918	3180
552	3926	3174
553	3931	3165
554	3939	3158
555	3944	3150
556	3951	3142
557	3955	3133
558	3959	3123
559	4044	3177
560	4055	3173
561	4109	3202
562	4123	3200
563	4139	3200
564	4152	3197
565	4208	3226
566	4215	3218
567	4254	3236
568	4258	3225
569	4263	3216
570	4268	3207
571	4282	3204
572	4360	3249
573	4397	3263
574	4409	3259
575	4416	3251
576	4424	3243
577	4438	3240
578	4453	3238
579	4474	3239
580	4477	3228
581	4518	3245
582	4545	3251
583	4550	3241
584	4566	3239
585	4596	3247
586	4599	3236
587	4605	3226
588	4612	3218
589	4619	3210
590	4626	3201
591	4638	3196
592	4647	3189
593	4656	3182
594	4660	3172
595	4666	3163
596	4673	3154
597	4680	3146
598	4683	3135
599	4686	3124
600	4690	3113
601	4696	3104
602	4698	3093
603	4703	3083
604	4710	3075
605	4713	3064
606	4715	3053
607	4720	3043
608	4724	3033
609	4727	3022
610	4732	3013
611	4737	3003
612	4743	2994
613	4755	2989
614	4782	2993
615	4785	2983
616	4818	2990
617	4822	2980
618	4845	2982
619	4851	2973
620	4866	2969
621	4875	2962
622	4957	3000
623	4961	2989
624	4970	2982
625	4974	2971
626	4989	2967
627	4994	2958
628	5007	2953
629	5020	2948
630	5071	2965
631	5076	2956
632	5094	2953
633	5119	2955
634	5122	2944
635	5124	2933
636	5137	2927
637	5187	2943
638	5245	2963
639	5261	2959
640	5264	2948
641	5274	2941
642	5290	2937
643	5295	2927
644	5309	2922
645	5314	2912
646	5322	2904
647	5327	2893
648	5333	2884
649	5338	2874
650	5342	2864
651	5345	2852
652	5348	2842
653	5352	2831
654	5356	2821
655	5363	2812
656	5366	2801
657	5370	2791
658	5372	2780
659	5378	2770
660	5382	2760
661	5384	2749
662	5387	2738
663	5395	2730
664	5399	2720
665	5402	2709
666	5409	2700
667	5412	2690
668	5415	2679
669	5418	2668
670	5422	2658
671	5425	2648
672	5427	2637
673	5430	2626
674	5436	2617
675	5441	2607
676	5443	2597
677	5446	2586
678	5451	2577
679	5455	2567
680	5460	2557
681	5471	2551
682	5475	2541
683	5483	2533
684	5488	2523
685	5490	2513
686	5497	2504
687	5502	2495
688	5506	2485
689	5515	2478
690	5519	2468
691	5522	2457
692	5530	2450
693	5535	2440
694	5537	2430
695	5544	2421
696	5547	2411
697	5560	2405
698	5565	2396
699	5567	2386
700	5569	2375
701	5577	2367
702	5581	2358
703	5583	2347
704	5586	2337
705	5593	2329
706	5597	2319
707	5603	2311
708	5607	2301
709	5611	2291
710	5613	2281
711	5621	2274
712	5625	2264
713	5629	2254
714	5646	2250
715	5658	2244
716	5674	2239
717	5748	2257
718	5771	2255
719	5779	2247
720	5786	2239
721	5789	2229
722	5801	2222
723	5804	2212
724	5818	2207
725	5823	2197
726	5842	2193
727	5850	2185
728	5854	2176
729	5857	2166
730	5866	2158
731	5870	2149
732	5873	2139
733	5882	2131
734	5886	2122
735	5890	2112
736	5895	2103
737	5899	2094
738	5903	2084
739	5913	2077
740	5916	2067
741	5919	2058
742	5928	2050
743	5931	2041
744	5934	2031
745	5940	2022
746	5944	2013
747	5948	2004
748	5954	1995
749	5958	1986
750	5961	1976
751	5964	1966
752	5971	1958
753	5975	1949
754	5977	1939
755	5984	1931
756	5990	1922
757	5994	1913
758	6001	1905
759	6005	1896
760	6007	1886
761	6010	1877
762	6017	1869
763	6021	1859
764	6023	1850
765	6030	1842
766	6045	1836
767	6049	1827
768	6052	1817
769	6054	1808
770	6059	1799
771	6062	1790
772	6068	1782
773	6072	1773
774	6076	1764
775	6078	1754
776	6085	1746
777	6088	1737
778	6092	1728
779	6095	1719
780	6105	1711
781	6115	1704
782	6130	1698
783	6133	1689
784	6143	1682
785	6258	1703
786	6266	1695
787	6274	1687
788	6279	1679
789	6282	1670
790	6290	1662
791	6303	1655
792	6318	1649
793	6324	1640
794	6328	1631
795	6336	1623
796	6348	1616
797	6357	1609
798	6363	1600
799	6371	1592
800	6377	1584
801	6383	1575
802	6392	1568
803	6396	1559
804	6400	1550
805	6406	1541
806	6410	1533
807	6423	1526
808	6427	1517
809	6435	1509
810	6440	1500
811	6443	1491
812	6452	1484
813	6456	1475
814	6458	1466
815	6465	1457
816	6471	1449
817	6473	1440
818	6475	1431
819	6480	1422
820	6483	1413
821	6486	1404
822	6492	1396
823	6494	1387
824	6501	1379
825	6505	1370
826	6508	1361
827	6515	1353
828	6519	1344
829	6523	1336
830	6525	1327
831	6531	1318
832	6534	1310
833	6536	1301
834	6542	1292
835	6547	1284
836	6553	1276
837	6557	1267
838	6560	1258
839	6563	1250
840	6569	1241
841	6572	1233
842	6575	1224
843	6614	1222
844	6638	1217
845	6668	1213
846	6700	1210
847	6715	1203
848	6719	1195
849	6777	1196
850	6795	1189
851	6846	1189
852	6863	1182
853	6883	1176
854	6893	1169
855	6900	1160
856	6908	1152
857	6929	1146
858	7103	1165
859	7108	1157
860	7116	1148
861	7213	1154
862	7232	1148
863	7239	1139
864	7242	1130
865	7250	1121
866	7257	1113
867	7268	1105
868	7272	1096
869	7276	1087
870	7279	1078
871	7284	1069
872	7293	1060
873	7295	1051
874	7301	1043
875	7305	1034
876	7307	1024
877	7311	1015
878	7317	1007
879	7320	998
880	7322	989
881	7328	980
882	7341	972
883	7347	964
884	7352	955
885	7355	946
886	7361	937
887	7365	929
888	7368	920
889	7373	911
890	7378	902
891	7381	893
892	7384	884
893	7390	876
894	7394	867
895	7396	858
896	7402	849
897	7407	841
898	7410	832
899	7412	823
900	7417	815
901	7426	806
902	7433	798
903	7440	790
904	7445	781
905	7450	773
906	7461	765
907	7539	763
908	7548	755
909	7553	747
910	7569	739
911	7608	734
912	7613	725
913	7636	718
914	7648	710
915	7651	701
916	7658	693
917	7666	684
918	7669	675
919	7678	667
920	7682	658
921	7689	650
922	7695	641
923	7705	633
924	7711	625
925	7721	617
926	7727	608
927	7730	599
928	7742	591
929	7745	583
930	7751	574
931	7753	565
932	7757	557
933	7764	548
934	7766	539
935	7771	531
936	7777	522
937	7780	514
938	7782	505
939	7787	497
940	7792	488
941	7795	479
942	7797	471
943	7801	462
944	7808	454
945	7810	445
946	7813	437
947	7817	428
948	7821	420
949	7826	411
950	7832	403
951	7836	395
952	7841	386
953	7847	378
954	7853	370
955	7856	361
956	7859	353
957	7864	344
958	7868	336
959	7872	328
960	7874	319
961	7880	311
962	7887	303
963	7890	294
964	7895	286
965	7900	278
966	7903	269
967	7906	261
968	7911	253
969	7915	244
970	7918	236
971	7920	228
972	7924	219
973	7944	212
974	7951	203
975	7953	195
976	7958	187
977	7963	179
978	7966	170
979	7969	162
980	7974	154
981	7979	146
982	7983	138
983	7987	129
984	7993	121
985	7995	113
986	7998	105
987	8003	97
988	8006	89
989	8009	80
990	8012	72
991	8016	64
992	8019	56
993	8023	48
994	8029	40
995	8033	32
996	8039	24
997	8045	16
998	8053	8
999	8055	0
